County,Route,Facility,Location,MP,Bridge ID#,Gross (tons),KY Type 1 (tons),KY Type 2 (tons),KY Type 3 (tons),KY Type 4 (tons),SU5 (tons),SU6 (tons),SU7 (tons)
Daviess,CR-1031,CR 1031,0.2 mi. S Jct. KY 144,0.153,030C00194N,39,,,,,,,
Daviess,CS-1116,4th Street,EB .25 MI W OF Jct KY 212,0.872,030C00195N,,26,27,29,38,31,31,32
Daviess,CS-1885,CS1013 Pleasant Va,0.7 Mi. S. Jct. US60,0.331,030C00197N,32,,,,,,,
Daviess,CR-1065,"CR1065, Kelly Cem.",200' E Jct. KY 405,0.038,030C00204N,37,,,,,,,
Daviess,CS-1892,Commonwealth Ct.,20' S. Ky 54,0.068,030C00205N,18,,,,,,,
Daviess,CS-1571,"CS1571, Villa Pt",300' W. Commonwealth,0.239,030C00206N,18,,,,,,,
Daviess,CR-1071,"CR1071, Potts Road",200. South KY 334,0.036,030C00207N,35,,,,,,,
Edmonson,KY-1749,KY-1749,6.1 MI N OF JCT KY 743,3.394,031B00001N,,31,32,35,44,38,38,40
Edmonson,KY-70,KY-70,GREEN RIVER @ BROWNSVILLE,10.888,031B00002N,,30,32,35,44,37,38,40
Edmonson,KY-70,KY-70,1.0 MI WEST OF JCT KY 187,2.612,031B00009N,,34,35,38,44,41,42,44
Edmonson,KY-187,KY-187,.4 MI S OF S-JCT KY 238,2.206,031B00019N,,38,41,44,44,,,
Edmonson,KY-187,KY-187,.6 MI S OF N-JCT KY 238,3.022,031B00020N,,35,37,40,44,,,
Edmonson,KY-1075,KY-1075,1.0 MI WEST OF JCT KY 187,3.254,031B00024N,,27,28,32,44,35,35,38
Edmonson,KY-238,KY-238,2.4 MI WEST OF JCT KY 259,9.644,031B00025N,,26,27,30,43,32,32,34
Edmonson,KY-238,KY-238,0.5 MI W JCT KY 185,3.412,031B00027N,,33,33,35,42,37,37,37
Edmonson,KY-238,KY-238,.25 MI.W  JCT KY 185,0.261,031B00029N,,28,28,30,34,31,31,31
Edmonson,CR-1345,CEDAR GROVE CH. RD,2.2 MI W. JCT KY 259,2.038,031C00005N,9,,,,,,,
Edmonson,CR-1203,WILLIE WEBB ROAD,.02 MI W JCT KY 259,0.011,031C00007N,3,,,,,,,
Edmonson,CR-1311,GRASSLAND-BLACKGOL,3.8 MI N KY 70,2.392,031C00008N,19,,,,,,,
Edmonson,CR-1141,RENFRO-RAY ROAD,.1 MI E- BEAVR DAM RD,0.13,031C00010N,18,,,,,,,
Elliott,KY-409,KY-409,1.1 MI WEST OF JCT KY 486,6.183,032B00009N,22,,,,,,,
Elliott,KY-486,KY-486,5 MI SW OF JCT KY 409,4.765,032B00012N,,35,37,41,44,,,
Elliott,KY-486,KY-486,2.5 MI SOU. OF JCT KY 409,7.177,032B00013N,22,,,,,,,
Elliott,KY-486,KY-486,.05 MI SOU. OF JCT KY 409,9.656,032B00014N,,36,37,43,44,,,
Elliott,KY-486,KY-486,.10 MI S.W. OF JCT KY 863,12.305,032B00015N,,35,36,40,44,,,
Elliott,KY-557,KY-557,.05 MI WEST OF JCT KY 7,1.96,032B00020N,,32,33,37,44,40,41,43
Elliott,KY-650,KY-650,.20 MI SOU. OF JCT KY 7,4.363,032B00021N,,40,41,43,44,,,
Elliott,KY-702,KY-702,.20 MI SOU. OF JCT KY 7,2.717,032B00025N,17,,,,,,,
Elliott,KY-556,KY-556,1.3 MI. NW CL SANDY HOOK,5.334,032B00031N,,35,37,43,44,,,
Elliott,KY-706,KY-706,2.7MI.S JCT. KY 7,10.681,032B00032N,22,,,,,,,
Elliott,CR-1104,NEWCOMBE CRK RD,.25 MI NW OF JCT KY 706,0.272,032C00004N,18,,,,,,,
Elliott,CR-1123,BEECH GROVE RD,.5 MI S OF JCT KY 32,0.449,032C00008N,18,,,,,,,
Elliott,CR-1101,RIGHT FRK SHEEPSKI,.15 MI E OF JCT CR 5144,0.192,032C00013N,18,,,,,,,
Elliott,CR-1221,CURT LYONS ROAD,.05 MI E OF JCT KY 650,0.057,032C00017N,3,,,,,,,
Elliott,CR-1223,CR-1223,.1 MI E OF JCT KY 650,0.09,032C00018N,8,,,,,,,
Elliott,CR-1352,STEGALL COLD SPRIN,1.5 MI S OF JCT KY 32,1.879,032C00023N,18,,,,,,,
Elliott,CR-1158,CR-1158,.1 MI E OF JCT KY 706,0.077,032C00024N,6,,,,,,,
Elliott,CR-1283,CR-1283,.1 MI E OF JCT KY 650,0.098,032C00025N,5,,,,,,,
Elliott,CR-1123,BEECH GROVE RD,.8 MI S -KY 32,0.762,032C00028N,38,,,,,,,
Elliott,CR-1110,WHITE CRK RD,200'  NW   JCT  KY 486,0.057,032C00029N,24,,,,,,,
Elliott,CR-1143,WALKER MOORE RD,315 FT NW OF JCT. KY 719,0.065,032C00031N,3,,,,,,,
Elliott,CR-1206,CR 1206,.39 MI N.OF S.JCT KY 7,0.922,032C00032N,15,,,,,,,
Elliott,CR-1009,CR 1009,.1MI WEST OF KY 486,0.031,032C00033N,19,,,,,,,
Elliott,CR-1122,ELKHORN BRANCH RD,400' SOUTH OF JCT KY 32,0.078,032C00036N,35,,,,,,,
Elliott,CR-1188,WILBUR ISON ROAD,293' SOUTH OF KY 32,0.058,032C00037N,7,,,,,,,
Elliott,CR-1172,JOHN ISON ROAD,680' SOUTH OF KY 32,0.136,032C00038N,7,,,,,,,
Elliott,CR-1017,Old Blaine Trace,390' S of Jct. Ky 486,0.073,032C00039N,0,,,,,,,
Estill,KY-89,KY-89,.30 MI WEST OF JCT KY 82,18.046,033B00001N,,32,33,36,44,39,39,41
Estill,KY-89,KY-89,1.1 MI SOU. OF JCT KY 794,15.292,033B00004N,,29,30,33,44,36,37,38
Estill,KY-89,KY-89,.40 MI SOU. OF JCT KY 52-,11.081,033B00012N,,24,25,29,43,31,31,34
Estill,KY-89,KY-89,1.2 MI SW OF JCT KY 1209,3.137,033B00013N,22,,,,,,,
Estill,KY-89,KY-89,.3 MI N OF JCT KY 1209,4.399,033B00014N,22,,,,,,,
Estill,KY-52,KY-52,BETWEEN JCTS KY 89 N&S,7.475,033B00016N,,26,30,35,44,37,37,38
Estill,KY-2001,KY-2001,ON POWELL - ESTILL CL,0.692,033B00018N,,21,23,26,44,28,29,31
Estill,KY-1571,KY-1571,.2 MI W OF E-JCT KY 52,5.421,033B00019N,,32,34,38,44,41,42,44
Estill,KY-794,KY-794,.10 MI EAST OF JCT KY 89,3.123,033B00021N,,26,26,27,44,31,35,39
Estill,KY-594,KY-594,.40 MI SOU. OF JCT KY 499,12.739,033B00023N,,27,28,32,44,35,35,38
Estill,KY-1139,KY-1139,2.5 MI S.W. OF JCT KY 594,0.277,033B00024N,22,,,,,,,
Estill,KY-1571,KY-1571,.1 MI E OF JCT KY 1645,0.403,033B00027N,37,,,,,,,
Estill,KY-3328,KY-3328,.6 MI S OF JCT KY 499,0.64,033B00039N,,37,38,40,44,42,42,43
Estill,KY-594,Ky 594,4.0 Mi S Ky 3328 Int,7.546,033B00043N,,36,38,44,44,,,
Estill,CR-1108,DRIFTWOOD DR,.6 MI W OF JCT KY 52,1.126,033C00006N,17,,,,,,,
Estill,CR-1108,DRIFTWOOD DR,.2 MI W OF JCT KY 52,1.595,033C00007N,0,,,,,,,
Estill,CR-1217,KISSEY BRANCH RD,.2 MI S OF JCT KY 594,0.147,033C00012N,38,,,,,,,
Estill,CR-1342,Wall Street,380 ft. W KY 89 MP 12.24,0.071,033C00024N,39,,,,,,,
Estill,CR-1017,CR-1017,.15 MI E JCT KY 975,0.092,033C00026N,22,,,,,,,
Estill,CR-1012,PITTS RD,2.0  MI N. JCT  KY 52,1.678,033C00029N,38,,,,,,,
Estill,CR-1061,PATSY RD,1.5  MI  E.JCT  KY 1182,0.745,033C00030N,37,,,,,,,
Fayette,US-25,RICHMOND ROAD,.1 MI W OF JCT KY 1973,2.669,034B00008N,,33,34,35,42,37,37,38
Fayette,KY-2328,KY-2328,@MADISON CO.LN.,0.025,034B00010N,12,,,,,,,
Fayette,US-60,US-60,.50 MI EAST OF KY 4-W-NTR,5.198,034B00014N,,20,27,34,40,40,40,40
Fayette,KY-57,KY 57,.3 MI N OF JCT KY 859,8.298,034B00020N,,20,27,34,40,40,40,40
Fayette,KY-4,W NEW CIRCLE RD NC,SBL .4 MI S OF US27 S-NTR,18.807,034B00027L,,34,36,39,44,41,41,43
Fayette,KY-4,NEW CIRCLE ROAD,NBL .4 MI S OF US27 S-NTR,18.81,034B00027R,,34,36,39,44,41,41,43
Fayette,KY-4,NEW CIRCLE RD-OL,NBL OVR US 25 S-NTRCH,14.875,034B00031L,,36,38,41,44,,,
Fayette,KY-4,NEW CIRCLE ROAD-IL,SBL OVR US 25 S-NTRCH,14.873,034B00031R,,36,38,41,44,,,
Fayette,KY-4,KY-4,EB EXT RMP B @ K1974 NTRC,0.198,034B00045N,,20,27,34,40,40,40,40
Fayette,KY-57,BRYAN AVENUE,1 MI NE OF NEW CIRCLE-KY4,1.164,034B00048N,,28,30,32,42,34,35,36
Fayette,KY-1973,KY-1973,1 MI S OF JCT KY 57,9.183,034B00060N,,28,29,31,40,33,33,34
Fayette,KY-1973,KY-1973,1.8 MI N OF JCT KY 57,12.031,034B00061N,,32,37,42,44,,,
Fayette,CR-1309,N YARNALLTON PIKE,1 MI N OF JCT KY 1977,1.196,034B00063N,33,,,,,,,
Fayette,CR-1133,ATHENS WALNUT HILL,1 MI W OF JCT KY 1973,1.787,034B00081N,28,,,,,,,
Fayette,US-60,US-60,E FAYETTE-WOODFORD LINE,0.008,034B00120N,,20,27,34,40,40,40,40
Fayette,KY-2335,KY-2335,.3 MI NORTH JCT 57 @ AVON,0.281,034B00135N,0,,,,,,,
Fayette,KY-3367,KY-3367,.2 MI. WEST - KY 1970,1.34,034B00139N,,20,22,25,43,27,28,31
Fayette,US-25,US 25,.05 MI N OF JCT W/KY1973,21.929,034B00167N,,20,27,34,40,40,40,40
Fayette,CR-1016,HUGHES LN,1.1 MI W OF JCT US 27&,1.179,034C00005N,18,,,,,,,
Fayette,CR-1122,GRIMES MILL RD,WEST OF CLARK CO.LN.,1.733,034C00010N,36,,,,,,,
Fayette,CR-1202,DELONG RD,.6 MI W OF ARMSTRONG MILL,3.094,034C00011N,26,,,,,,,
Fayette,CS-4624,OLD VERSAILLES RD,.05 MI S OF JCT US 60,0.127,034C00013N,18,,,,,,,
Fayette,CR-1303,MT HOREB PIKE,.6 MI S OF JCT LEMON MIL,2.161,034C00015N,18,,,,,,,
Fayette,CR-1323,ELKCHESTER RD,.7 MI W OF JCT KY 1969,0.935,034C00020N,18,,,,,,,
Fayette,CR-1324,BOSWORTH LANE,1.3 MI W. JCT.KY 1969,1.224,034C00021N,25,,,,,,,
Fayette,CS-3166,CENTRE PARKWAY,100' S of Greentree Rd,0.038,034C00027N,18,,,,,,,
Fayette,CS-4049,BEACON HILL ROAD,.2 MI E OF JCT LANE ALLEN,0.809,034C00045N,15,,,,,,,
Fayette,CR-1222,FROGTOWN LN,0.3 MI. S. JCT US 60,0.207,034C00048N,21,,,,,,,
Fayette,CS-4255,DEVONPORT DR,0.1 MI.E. ALEXANDRIA DR,0.569,034C00049N,18,,,,,,,
Fayette,CS-4127,CAMBRIDGE DRIVE,0.1 MI E OF ALEXANDRIA DR,0.551,034C00050N,18,,,,,,,
Fayette,CS-4009,ALEXANDRIA DRIVE,.5 M W. JCT US 421,0.544,034C00056N,18,,,,,,,
Fayette,CS-2107,BUENA VISTA RD,500FT WEST OF ELKHORN RD,0.198,034C00058N,29,,,,,,,
Fayette,CS-4292,ENTERPRISE DRIVE,.2  MI SOU  - KY 1681,0.167,034C00059N,25,,,,,,,
